idcode,SMU,SM,PK1,PK2,PK3,ENT1,ENT2,ENT3,ENT4,INT1,INT2,INT3,CUS1,CUS2,CUS3,CUS4,TRE1,TRE2,TRE3,TRE4,WOM1,WOM2,WOM3,WOM4,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPI7,CP18,RB1,RB2,RB3,RB4,RB5,RB6,VI1,VI2,VI3,VI4,VI5,Age
97,1,1,1,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,3,4,4,4,31
98,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24
99,1,1,1,1,1,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,25
100,1,1,1,1,1,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4,2,3,3,3,2,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,23
101,1,1,1,1,1,4,4,5,4,4,4,4,5,4,3,4,5,5,4,4,4,3,3,3,3,3,4,4,3,3,3,3,5,5,5,5,5,5,3,5,3,3,5,52
102,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,47
103,1,1,1,1,1,5,5,5,5,5,3,3,5,4,3,4,5,5,5,5,5,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,5,4,4,4,25
104,1,1,1,1,0,3,4,5,5,5,4,4,5,3,3,2,4,4,5,4,2,2,4,2,3,4,4,4,4,3,4,4,5,3,4,5,5,4,5,5,4,4,5,25
105,1,1,1,1,1,4,5,4,4,3,4,4,5,3,4,4,5,3,3,4,2,3,2,4,3,2,4,2,3,5,2,3,2,3,4,3,4,4,4,2,3,4,5,23
106,1,5,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,25
107,1,1,1,1,1,5,4,4,4,5,4,4,4,3,3,3,5,5,5,5,3,3,3,3,3,3,3,4,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,27
108,1,1,1,0,0,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,3,4,24
