idcode,SMU,SM,PK1,PK2,PK3,ENT1,ENT2,ENT3,ENT4,INT1,INT2,INT3,CUS1,CUS2,CUS3,CUS4,TRE1,TRE2,TRE3,TRE4,WOM1,WOM2,WOM3,WOM4,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPI7,CP18,RB1,RB2,RB3,RB4,RB5,RB6,VI1,VI2,VI3,VI4,VI5,Age
204,1,1,1,1,1,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,33
205,1,3,1,1,1,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,5,4,4,4,5,5,4,4,5,5,5,4,4,5,5,4,5,4,5,4,4,5,36
206,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,29
207,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,34
208,1,1,1,1,1,5,4,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4,3,5,5,4,5,4,5,4,4,5,5,4,5,4,5,5,5,4,5,5,4,33
209,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,5,5,4,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,29
210,1,1,1,1,1,4,5,4,5,4,5,5,4,4,5,4,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,33
211,1,1,1,1,1,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,5,5,4,3,5,4,4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,24
212,1,2,1,1,1,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,4,4,4,5,4,5,4,29
213,1,2,1,1,1,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,36
214,1,1,1,1,1,4,5,5,4,4,4,5,4,3,4,3,5,4,3,4,4,5,4,4,3,4,4,4,4,4,3,4,4,4,5,2,4,3,4,5,4,5,5,27
215,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,4,5,5,4,4,5,4,5,4,4,5,4,5,4,5,5,4,4,5,5,4,5,4,5,4,5,4,5,36
216,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,5,4,5,4,5,4,31
217,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,29
218,1,1,1,1,1,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,3,5,4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,29
219,1,1,1,1,1,4,5,2,5,2,4,4,5,4,5,5,4,5,4,4,4,2,5,4,3,4,4,4,5,4,2,4,4,4,5,4,4,5,5,5,5,5,5,32
220,1,1,1,1,1,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,2,5,4,5,4,5,3,5,27
221,1,1,1,1,1,5,4,5,5,4,5,4,5,4,5,4,4,4,3,4,5,4,5,2,4,5,4,2,4,5,4,3,5,4,3,4,4,4,4,5,4,4,5,27
222,1,1,1,1,1,4,4,4,5,5,5,4,4,4,5,5,4,3,2,5,5,5,4,4,4,5,5,4,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,29
223,1,1,1,1,1,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,38
224,1,3,1,1,1,5,5,4,5,4,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,33
225,1,1,1,1,1,4,5,3,4,4,5,5,4,5,4,4,4,4,5,4,5,4,5,4,5,4,5,4,3,4,4,5,5,4,5,4,5,3,4,4,5,5,5,45
226,1,3,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,36
227,1,2,1,1,1,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,3,3,2,3,2,3,2,5,20
228,1,2,1,1,1,5,5,5,4,4,5,5,5,4,5,5,4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,5,38
229,1,1,1,1,1,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,5,4,5,5,4,4,5,4,5,38
230,1,1,1,1,1,5,4,4,5,4,4,5,4,2,4,4,5,4,5,4,5,5,4,4,4,3,4,5,4,5,4,5,5,4,4,2,4,4,5,5,5,5,4,34
231,1,1,1,1,1,5,5,5,4,5,5,5,4,4,4,5,5,5,5,2,5,5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,34
232,1,1,1,1,1,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,4,3,4,2,4,4,5,5,4,5,4,5,4,5,4,5,5,5,5,5,4,5,5,35
233,1,1,1,1,1,4,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,4,5,5,4,35
234,1,1,1,1,1,5,5,4,5,4,4,5,5,4,5,4,3,4,5,4,5,3,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,35
235,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,5,5,4,5,4,5,5,5,4,4,4,5,5,5,4,5,4,5,4,4,5,5,4,5,4,5,4,5,35
236,1,2,1,1,1,5,4,5,4,5,4,4,5,4,4,5,5,4,5,4,4,4,5,4,5,4,4,4,4,3,2,4,5,4,5,4,5,4,4,5,5,5,5,47
237,1,3,1,1,1,4,5,5,4,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,4,37
238,1,2,1,1,1,5,4,5,4,5,3,5,4,5,5,4,5,4,3,5,4,5,4,5,5,4,5,4,2,4,4,4,5,4,5,4,5,4,5,5,4,4,4,38
239,1,1,1,1,1,4,5,5,4,5,4,5,5,5,5,4,5,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,35
240,1,1,1,1,1,5,5,4,5,4,5,4,5,4,5,4,5,4,5,5,3,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,29
241,1,1,1,1,1,5,4,4,5,4,5,4,5,4,4,5,5,4,4,4,5,4,5,4,4,5,4,5,5,5,5,5,4,5,4,5,4,5,5,4,5,4,4,36
242,1,3,1,1,1,4,5,4,5,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,34
243,1,5,1,1,1,4,4,5,4,4,5,4,5,4,5,5,4,4,4,5,5,4,4,4,4,5,4,4,5,4,5,4,5,5,4,4,5,4,4,5,4,5,5,28
244,1,3,1,1,1,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,31
245,1,3,1,1,1,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,29
246,1,3,1,1,1,4,5,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,4,4,4,5,4,5,5,4,4,5,5,4,4,5,4,5,4,5,4,4,5,27
247,1,1,1,1,1,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,5,3,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,5,4,5,4,5,4,31
248,1,1,1,1,1,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,28
249,1,1,1,1,1,4,5,4,4,4,5,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,5,5,4,4,5,5,4,4,4,5,4,4,4,3,5,4,4,36
250,1,1,1,1,1,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,4,5,3,5,4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,29
251,1,2,1,1,1,5,4,5,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,29
252,1,1,1,1,1,4,5,4,4,5,5,4,4,4,5,4,5,4,5,5,4,4,5,4,4,4,5,4,5,4,4,5,4,5,4,4,3,5,5,4,5,4,5,24
253,1,1,1,1,1,5,4,5,5,4,5,4,5,4,5,4,5,4,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,4,3,5,5,4,5,5,5,30
254,1,1,1,1,1,5,5,4,5,4,5,4,5,4,5,4,5,5,3,5,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,29
255,1,1,1,1,1,5,4,5,5,4,3,5,5,4,3,5,4,5,4,5,4,3,4,4,4,5,4,4,4,4,3,2,4,4,5,4,5,4,4,4,5,5,5,29
256,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,4,5,4,5,3,5,4,4,5,4,5,5,4,5,5,4,5,5,4,5,42
257,1,3,1,1,1,4,5,4,3,5,4,4,4,4,3,5,4,4,5,4,4,5,3,3,3,4,5,4,4,5,4,4,3,4,4,5,4,4,5,4,4,4,5,28
258,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,5,4,5,4,5,4,34
259,1,3,1,1,1,5,4,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,4,3,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,34
260,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,38
261,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,4,5,42
262,1,4,1,1,1,4,5,4,4,4,4,4,4,4,3,5,4,4,4,5,4,3,4,5,4,4,4,2,4,5,2,4,5,4,4,3,5,4,4,5,4,5,5,28
263,1,3,1,1,1,5,4,5,4,5,4,5,3,5,4,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,44
264,1,1,1,1,1,5,4,5,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,37
265,1,1,1,1,1,4,5,4,5,4,5,5,4,5,5,4,5,4,4,5,5,4,4,3,4,4,4,2,4,4,3,4,5,4,4,5,4,4,4,4,5,5,5,28
266,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,35
267,1,1,1,1,1,4,5,4,5,4,5,4,5,5,4,4,5,4,4,3,5,4,4,3,5,4,4,5,5,4,5,4,5,4,5,4,5,5,4,4,4,5,5,25
268,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,35
269,1,1,1,1,1,5,4,4,5,4,4,5,4,4,4,4,5,4,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,5,39
270,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,43
271,1,2,1,1,1,4,5,4,4,5,4,5,5,4,4,5,5,4,4,5,4,5,4,5,5,3,4,4,5,5,4,4,5,4,5,5,5,4,4,4,5,5,4,29
272,1,3,1,1,1,4,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,4,4,5,5,3,5,4,4,4,4,4,5,5,4,5,4,5,5,4,5,5,5,20
273,1,2,1,1,1,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,35
274,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,36
275,1,1,1,1,1,5,5,4,4,5,4,5,4,5,5,4,4,5,5,5,4,5,5,4,5,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,5,5,23
276,1,2,1,1,1,5,4,5,4,5,4,5,4,5,2,5,4,5,4,5,3,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,36
277,1,1,1,1,1,4,5,5,5,4,5,4,4,5,5,4,4,5,5,5,4,4,4,4,5,4,4,5,4,5,5,5,4,4,4,5,5,4,4,5,5,5,4,25
278,1,1,1,1,1,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,37
279,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,3,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,35
280,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,2,4,4,5,4,4,5,4,5,4,4,4,5,4,2,4,5,5,4,4,4,5,26
281,1,1,1,1,1,5,5,4,5,4,5,2,5,3,5,4,5,5,4,5,4,5,5,5,3,4,5,3,5,3,5,4,5,4,5,4,5,4,4,5,4,5,5,35
282,1,1,1,1,1,4,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,36
283,1,1,1,1,1,5,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,4,5,3,5,4,5,4,4,5,4,4,5,4,5,4,5,4,5,4,5,5,5,25
284,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,37
285,1,2,1,1,1,4,4,5,5,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,5,4,4,5,4,4,4,3,4,4,4,5,5,5,5,5,5,37
286,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,5,4,5,4,5,5,45
287,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,5,5,4,5,4,5,5,36
288,1,1,1,1,1,5,4,4,4,4,4,4,4,5,4,5,4,5,5,5,4,4,5,4,5,4,4,4,5,4,4,4,4,3,4,2,4,4,5,4,5,4,5,34
289,1,1,1,1,1,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,43
290,1,1,1,1,1,5,4,5,4,4,5,4,4,4,4,5,5,4,5,4,5,5,5,5,4,5,4,4,4,4,4,5,5,4,5,4,4,5,4,4,4,4,5,24
291,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,4,4,5,5,5,4,5,5,3,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,3,5,34
292,1,1,1,1,1,5,4,5,4,5,4,5,4,4,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5,4,5,35
293,1,1,1,1,1,4,5,4,5,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,4,5,5,4,5,4,4,5,5,4,5,5,5,34
294,1,3,1,1,1,5,3,4,4,4,5,4,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,34
295,1,1,1,1,1,4,5,4,5,4,5,4,4,5,4,4,5,4,5,4,4,4,5,4,5,4,4,3,5,4,4,4,4,4,5,4,4,5,5,4,5,5,5,24
296,1,3,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,3,5,4,5,4,5,4,5,4,5,3,5,4,5,4,45
297,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,4,4,4,4,4,4,5,4,4,4,5,24
298,1,3,1,1,1,5,4,5,4,5,4,5,3,5,3,5,4,5,4,4,5,4,4,4,5,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,34
299,1,1,1,1,1,5,4,5,4,5,4,5,4,4,5,4,5,5,3,5,4,5,3,3,5,3,5,4,5,4,4,3,3,5,4,3,4,5,4,4,5,5,4,34
300,1,3,1,1,1,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,4,5,5,3,4,4,5,25
301,1,1,1,1,1,4,4,3,4,5,5,3,5,4,4,5,4,3,4,5,5,4,4,5,5,3,5,5,4,5,4,5,5,3,5,4,5,4,5,5,5,5,4,43
302,1,3,1,1,1,4,5,4,5,5,4,4,3,4,3,5,4,4,4,4,5,4,5,5,4,4,5,4,5,5,5,4,5,4,4,5,4,5,5,5,5,5,5,26
303,1,2,1,1,1,4,4,4,5,5,5,4,5,4,4,4,5,5,4,5,4,5,5,5,4,5,5,4,5,4,5,4,4,4,5,5,4,5,5,5,3,5,5,34
304,1,3,1,1,1,5,4,4,5,5,4,4,4,5,5,4,4,5,4,5,4,4,4,5,4,5,4,4,5,5,4,5,5,4,4,4,5,5,5,4,4,4,5,24
305,1,1,1,1,1,4,5,4,4,4,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,4,5,4,3,4,4,3,4,4,5,4,4,5,4,4,4,4,5,23
306,1,1,1,1,1,4,4,5,4,4,5,5,4,5,3,5,4,5,4,5,4,5,4,5,4,4,4,4,3,4,4,4,4,5,4,5,5,4,5,4,4,4,5,25
